Size,IsPublic,GFA,AirconFA,Occupancy,ChillerType,ChillerAge,ChillerEff,ChillerAudit,LED,EUI,Age,TotalEnergy,NonAirconFA
Large,No,48688.0,33594.72,96.0,Water Cooled Chilled Water Plant,7.0,0.59,5.0,50.0,169.3,29.0,8242.88,15093.28
Large,No,15769.0,14192.1,93.0,Water Cooled Chilled Water Plant,4.0,0.65,1.0,50.0,202.8,19.0,3197.95,1576.9
Small,No,7372.0,7150.84,90.0,"Others (Split Units, Unitary Systems)",4.0,,,3.0,277.9,38.0,2048.68,221.16
Small,Yes,5199.0,4211.19,90.0,"Others (Split Units, Unitary Systems)",4.0,,,20.0,215.1,14.0,1118.3,987.81
Large,Yes,19765.0,16207.3,60.0,Water Cooled Chilled Water Plant,3.0,0.67,1.0,21.0,127.2,19.0,2514.11,3557.7
Small,No,2206.0,1742.74,96.0,"Others (Split Units, Unitary Systems)",6.0,,,0.0,184.3,35.0,406.57,463.26
Small,No,5030.0,4024.0,100.0,"Others (Split Units, Unitary Systems)",6.0,,,5.0,171.2,7.0,861.14,1006.0
Small,No,3225.0,2289.75,100.0,"Others (Split Units, Unitary Systems)",3.0,,,5.0,105.9,44.0,341.53,935.25
Small,No,5824.0,4076.8,77.0,Air Cooled Chilled Water Plant,23.0,,,30.0,185.6,25.0,1080.93,1747.2
Small,No,4331.0,2945.08,80.0,"Others (Split Units, Unitary Systems)",1.0,,,0.0,78.7,22.0,340.85,1385.92
Small,No,1086.0,749.34,100.0,"Others (Split Units, Unitary Systems)",3.0,,,0.0,86.0,41.0,93.4,336.66
Small,No,10418.0,10418.0,90.0,Water Cooled Chilled Water Plant,38.0,0.8,1.0,90.0,158.4,43.0,1650.21,0.0
Large,No,42976.0,35670.08,75.0,District Cooling Plant,11.0,,,5.0,164.3,7.0,7060.96,7305.92
Small,No,1865.0,1156.3,100.0,"Others (Split Units, Unitary Systems)",5.0,,,5.0,220.5,14.0,411.23,708.7
Small,No,7526.0,7526.0,95.0,Water Cooled Chilled Water Plant,21.0,1.03,9.0,25.0,252.6,24.0,1901.07,0.0
Large,No,32079.0,20209.77,100.0,Water Cooled Chilled Water Plant,13.0,0.83,4.0,33.0,320.2,29.0,10271.7,11869.23
Large,Yes,26137.0,24307.41,95.0,Air Cooled Chilled Water Plant,16.0,,,40.0,209.0,19.0,5462.63,1829.59
Large,Yes,27069.0,16241.4,100.0,Water Cooled Chilled Water Plant,3.0,0.54,3.0,95.0,132.7,6.0,3592.06,10827.6
Large,Yes,32034.0,26267.88,80.0,Water Cooled Chilled Water Plant,7.0,0.65,4.0,90.0,134.4,28.0,4305.37,5766.12
Large,No,16122.0,11446.62,91.0,Water Cooled Chilled Water Plant,7.0,0.88,1.0,15.0,147.0,33.0,2369.93,4675.38
Small,No,7200.0,7200.0,90.0,Water Cooled Chilled Water Plant,10.0,,,41.0,133.0,43.0,957.6,0.0
Large,No,62392.0,58024.56,90.0,Water Cooled Chilled Water Plant,3.0,0.65,7.0,40.0,133.5,26.0,8329.33,4367.44
Small,No,4192.0,4192.0,100.0,Water Cooled Chilled Water Plant,10.0,,,0.0,195.2,34.0,818.28,0.0
Small,No,7040.0,3590.4,75.0,"Others (Split Units, Unitary Systems)",7.0,,,52.0,247.8,9.0,1744.51,3449.6
Small,No,6521.0,5803.69,100.0,"Others (Split Units, Unitary Systems)",8.0,,,70.0,272.1,9.0,1774.36,717.31
Large,No,17828.0,14618.96,100.0,Air Cooled Chilled Water Plant,3.0,0.94,1.0,15.0,266.0,24.0,4742.25,3209.04
Small,No,3181.0,2449.37,100.0,"Others (Split Units, Unitary Systems)",3.0,,,35.0,295.8,26.0,940.94,731.63
Small,No,3722.0,2493.74,100.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,147.2,18.0,547.88,1228.26
Large,Yes,49327.0,29596.2,90.0,Water Cooled Chilled Water Plant,15.0,,,0.0,187.4,16.0,9243.88,19730.8
